,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
44,PLTR210115C00034000,2021-01-12 14:46:55,34.0,0.03,0.03,0.04,0.0,0.0,103.0,10989,1.2656286718749998,False,REGULAR,USD
45,PLTR210115C00035000,2021-01-12 14:43:56,35.0,0.03,0.02,0.03,0.0,0.0,84.0,22821,1.3125034374999998,False,REGULAR,USD
46,PLTR210115C00036000,2021-01-12 14:46:45,36.0,0.02,0.02,0.03,0.0,0.0,181.0,3041,1.421877890625,False,REGULAR,USD
47,PLTR210115C00037000,2021-01-12 14:45:41,37.0,0.01,0.0,0.02,-0.01,-50.0,2.0,1795,1.3437532812499997,False,REGULAR,USD
48,PLTR210115C00038000,2021-01-12 14:31:02,38.0,0.01,0.0,0.03,-0.01,-50.0,52.0,1606,1.5000025,False,REGULAR,USD
49,PLTR210115C00039000,2021-01-12 14:41:20,39.0,0.01,0.0,0.02,-0.01,-50.0,1.0,989,1.5312523437499999,False,REGULAR,USD
50,PLTR210115C00040000,2021-01-12 14:42:52,40.0,0.01,0.0,0.01,0.0,0.0,60.0,18993,1.5000025,False,REGULAR,USD
51,PLTR210115C00041000,2021-01-11 20:00:08,41.0,0.01,0.0,0.0,0.0,0.0,5.0,1693,0.500005,False,REGULAR,USD
52,PLTR210115C00042000,2021-01-11 20:35:37,42.0,0.01,0.0,0.03,0.0,0.0,175.0,1097,1.8437507812499998,False,REGULAR,USD
53,PLTR210115C00043000,2021-01-11 17:38:16,43.0,0.01,0.0,0.01,0.0,0.0,13.0,447,1.6875015625,False,REGULAR,USD
54,PLTR210115C00044000,2021-01-12 14:38:39,44.0,0.01,0.0,0.01,0.0,0.0,10.0,1832,1.75000125,False,REGULAR,USD
55,PLTR210115C00045000,2021-01-11 15:39:37,45.0,0.01,0.0,0.01,0.0,0.0,7.0,1711,1.875000625,False,REGULAR,USD
56,PLTR210115C00046000,2021-01-11 20:22:16,46.0,0.01,0.0,0.01,0.0,0.0,10.0,1647,1.9375003125,False,REGULAR,USD
57,PLTR210115C00047000,2021-01-08 20:16:42,47.0,0.01,0.0,0.02,0.0,0.0,46.0,850,2.1250046874999997,False,REGULAR,USD
58,PLTR210115C00048000,2021-01-11 14:42:42,48.0,0.01,0.0,0.01,0.0,0.0,15.0,779,2.0625048437499998,False,REGULAR,USD
59,PLTR210115C00049000,2021-01-08 16:05:07,49.0,0.03,0.0,0.01,0.0,0.0,2.0,702,2.1250046874999997,False,REGULAR,USD
60,PLTR210115C00050000,2021-01-11 18:26:16,50.0,0.01,0.0,0.01,0.0,0.0,300.0,13218,2.1250046874999997,False,REGULAR,USD
